
Integration time [ms]:  32,000
Averaging Nr. [scans]: 5
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1804343U2
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 

318,006;  -20,200;   11,200;    0,000
318,025;   25,800;   30,400;    0,000
318,044;   23,800;   24,800;    0,000
318,063;  -13,000;  -21,800;    0,000
318,082;   22,800;  -11,400;    0,000
318,102;   -8,200;   36,000;    0,000
318,121;   37,400;   18,800;    0,000
318,140;   10,400;   25,200;    0,000
318,159;  -25,000;    5,800;    0,000
318,179;   -2,000;   -8,800;    0,000
318,198;   23,000;   20,000;    0,000
318,217;    9,600;   15,400;    0,000
318,236;  -21,600;   -7,600;    0,000
318,255;   28,200;   21,400;    0,000
318,275;   20,600;    8,800;    0,000
318,294;  -15,400;  -35,800;    0,000
318,313;   15,200;   46,400;    0,000
318,332;   -9,800;  -10,000;    0,000
318,351;   11,600;   13,400;    0,000
318,370;    6,000;  -42,000;    0,000
318,390;    7,800;   -5,200;    0,000
318,409;   -1,800;   -5,400;    0,000
318,428;   17,200;  -12,400;    0,000
318,447;   -1,800;   -9,600;    0,000
318,466;   -3,800;   -7,400;    0,000
318,485;  -37,800;  -24,400;    0,000
318,505;    4,000;   13,400;    0,000
318,524;   -8,600;  -16,200;    0,000
318,543;    7,000;   40,200;    0,000
318,562;  -19,000;   -6,800;    0,000
318,581;   24,200;    1,400;    0,000
318,600;   19,600;    1,800;    0,000
318,620;   37,200;   32,400;    0,000
318,639;  -22,800;  -37,800;    0,000
318,658;   24,200;    2,400;    0,000
318,677;    1,800;    2,400;    0,000
318,696;   12,400;   17,800;    0,000
318,715;  -39,600;    2,400;    0,000
318,734;  -10,000;    1,400;    0,000
318,754;  -57,400;   21,000;    0,000
318,773;    8,800;   15,600;    0,000
318,792;  -35,000;   17,800;    0,000
318,811;   22,200;   22,400;    0,000
318,830;  -28,800;  -30,600;    0,000
318,849;   57,000;   44,400;    0,000
318,868;   11,000;  -39,400;    0,000
318,887;    3,000;   -1,600;    0,000
318,906;  -31,200;  -45,800;    0,000
318,926;    3,200;   26,600;    0,000
318,945;  -20,200;   23,400;    0,000
318,964;   16,600;   -7,000;    0,000
318,983;   -5,600;  -15,600;    0,000
319,002;   39,400;   15,600;    0,000
319,021;   -5,200;    4,600;    0,000
319,040;    0,800;   22,000;    0,000
319,059;   11,600;    3,400;    0,000
319,078;   18,800;   13,000;    0,000
319,097;   -6,400;   36,200;    0,000
319,117;    1,000;  -14,000;    0,000
319,136;  -27,200;    9,800;    0,000
319,155;  -24,400;    0,200;    0,000
319,174;    0,800;    0,200;    0,000
319,193;    5,800;  -12,000;    0,000
319,212;   14,000;    1,400;    0,000
319,231;   21,000;   13,400;    0,000
319,250;  -23,800;    6,400;    0,000
319,269;   -1,800;   28,600;    0,000
319,288;  -22,200;  -18,400;    0,000
319,307;    4,000;   17,400;    0,000
319,326;  -12,000;   35,600;    0,000
319,345;   86,400;   15,600;    0,000
319,364;   10,600;  -14,000;    0,000
319,384;   57,200;   40,800;    0,000
319,403;  -12,200;    0,400;    0,000
319,422;   35,000;   28,600;    0,000
319,441;   21,200;    7,000;    0,000
319,460;  -19,000;   27,600;    0,000
319,479;  -10,400;   18,400;    0,000
319,498;   38,600;   12,000;    0,000
319,517;  -20,200;   15,200;    0,000
319,536;   26,800;   13,800;    0,000
319,555;    1,800;  -28,600;    0,000
319,574;   21,000;   -6,800;    0,000
319,593;   23,200;   30,800;    0,000
319,612;   19,600;   29,400;    0,000
319,631;  -17,400;    9,000;    0,000
319,650;   12,400;   12,000;    0,000
319,669;    1,000;    1,800;    0,000
319,688;   52,000;   45,600;    0,000
319,707;   12,600;  -14,400;    0,000
319,726;   27,600;    9,400;    0,000
319,745;   -2,800;   -8,400;    0,000
319,764;   26,000;    7,200;    0,000
319,783;    3,600;   11,200;    0,000
319,802;   17,400;  -44,800;    0,000
319,821;   14,800;    0,600;    0,000
319,840;   -5,800;  -10,200;    0,000
319,859;   13,400;   28,400;    0,000
319,878;   20,200;   31,200;    0,000
319,897;  -12,000;   36,000;    0,000
319,916;    5,200;    2,200;    0,000
319,935;    6,600;   -0,600;    0,000
319,954;   61,400;    8,600;    0,000
319,973;    3,000;   20,400;    0,000
319,992;  -13,000;   -1,200;    0,000
320,011;    4,600;    8,400;    0,000
320,030;    7,600;   16,400;    0,000
320,049;   -0,200;   37,600;    0,000
320,068;    0,600;  -24,000;    0,000
320,087;  -12,800;    9,800;    0,000
320,106;   55,200;   23,000;    0,000
320,125;   -5,200;    1,000;    0,000
320,144;   21,600;   -5,200;    0,000
320,163;   30,200;   27,400;    0,000
320,182;    0,400;   49,600;    0,000
320,201;    2,200;   52,400;    0,000
320,220;   27,600;  -22,400;    0,000
320,239;   -0,200;   26,800;    0,000
320,257;   32,800;   33,400;    0,000
320,276;   11,400;   -7,400;    0,000
320,295;   22,400;   -0,200;    0,000
320,314;  -19,200;  -24,400;    0,000
320,333;   44,800;   43,000;    0,000
320,352;    1,000;   14,800;    0,000
320,371;   14,000;   55,000;    0,000
320,390;  -22,400;    7,200;    0,000
320,409;   36,200;   40,600;    0,000
320,428;   -2,600;  -12,400;    0,000
320,447;   13,600;   36,800;    0,000
320,466;  -10,600;   19,000;    0,000
320,485;   44,200;   37,200;    0,000
320,504;   -5,400;  -20,000;    0,000
320,522;   31,600;   -1,800;    0,000
320,541;    8,400;   24,000;    0,000
320,560;   16,200;   41,800;    0,000
320,579;   22,000;   19,400;    0,000
320,598;   56,600;   71,000;    0,000
320,617;   86,800;   96,200;    0,000
320,636;  151,600;  169,400;    0,000
320,655;  128,400;  169,800;    0,000
320,674;  122,400;  102,200;    0,000
320,693;   68,000;   31,600;    0,000
320,711;   37,200;   13,400;    0,000
320,730;  -32,200;    6,000;    0,000
320,749;   38,400;   35,200;    0,000
320,768;   18,000;   29,600;    0,000
320,787;   25,400;    7,400;    0,000
320,806;   -4,200;   -2,400;    0,000
320,825;   47,000;   21,000;    0,000
320,844;    6,400;   -7,600;    0,000
