
Integration time [ms]:   5,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1804344U2
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 

294,453;    9,873;   37,993;    0,000
294,621;   10,050;   38,808;    0,000
294,790;   -2,738;    8,231;    0,000
294,958;    7,863;   -6,977;    0,000
295,126;  -11,936;   39,324;    0,000
295,294;   10,802;   10,677;    0,000
295,463;    8,462;   19,131;    0,000
295,631;   12,416;   -6,823;    0,000
295,799;    7,073;   29,577;    0,000
295,967;    6,556;   15,316;    0,000
296,135;   11,515;   17,492;    0,000
296,304;   15,021;   15,308;    0,000
296,472;  -19,609;   85,139;    0,000
296,640;   20,910;   31,562;    0,000
296,808;    1,649;   32,824;    0,000
296,976;    7,059;   19,977;    0,000
297,145;  -24,280;   49,332;    0,000
297,313;   12,365;   21,692;    0,000
297,481;    6,588;   17,885;    0,000
297,649;   12,995;   14,769;    0,000
297,817;  -25,828;   16,801;    0,000
297,985;   37,027;   24,431;    0,000
298,154;   -6,043;    8,200;    0,000
298,322;   -4,156;   33,493;    0,000
298,490;   -5,822;   50,116;    0,000
298,658;    3,730;   15,893;    0,000
298,826;   16,821;   40,808;    0,000
298,994;  105,825;   33,862;    0,000
299,162;  183,826;   65,155;    0,000
299,331;  107,096;   -4,946;    0,000
299,499;    0,995;   20,777;    0,000
299,667;  -24,491;   37,785;    0,000
299,835;    9,594;   33,993;    0,000
300,003;   -3,325;   47,562;    0,000
300,171;    6,496;   15,962;    0,000
300,339;    0,158;   36,192;    0,000
300,507;  -23,097;   57,670;    0,000
300,675;    8,100;   50,808;    0,000
300,843;   18,445;    9,677;    0,000
301,011;   11,619;   26,239;    0,000
301,179;  -19,909;   12,831;    0,000
301,347;    6,300;   32,316;    0,000
301,515;  -12,198;   38,385;    0,000
301,684;   -0,746;   32,346;    0,000
301,852;   15,478;   45,416;    0,000
302,020;    0,670;   15,523;    0,000
302,188;  -21,399;   63,409;    0,000
302,356;   24,487;   17,077;    0,000
302,524;    6,736;   17,100;    0,000
302,692;   21,267;   35,669;    0,000
302,860;  -26,341;   51,985;    0,000
303,028;   -0,999;   44,493;    0,000
303,196;    2,984;   53,547;    0,000
303,364;   20,889;   26,354;    0,000
303,531;   11,377;   25,631;    0,000
303,699;    8,487;   19,677;    0,000
303,867;    9,934;    4,131;    0,000
304,035;  -11,015;   15,708;    0,000
304,203;    8,060;   31,678;    0,000
304,371;    6,935;    8,000;    0,000
304,539;    5,540;   27,362;    0,000
304,707;    4,321;   12,908;    0,000
304,875;    3,704;   48,854;    0,000
305,043;    6,500;   16,608;    0,000
305,211;    4,094;   51,593;    0,000
305,379;    2,434;   14,515;    0,000
305,547;    5,261;   35,762;    0,000
305,715;  -12,555;   26,277;    0,000
305,883;   -7,635;   56,001;    0,000
306,050;    9,211;   18,646;    0,000
306,218;    4,604;   27,454;    0,000
306,386;   19,873;   43,985;    0,000
306,554;    8,772;   25,108;    0,000
306,722;   18,980;   -7,223;    0,000
