Hydrogen
Integration time [ms]: 600,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1804344U2
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 

294,453;  282,079;  244,420;    0,000
294,621;  139,234;  110,808;    0,000
294,790;   66,604;   48,891;    0,000
294,958;   89,677;   57,606;    0,000
295,126;  343,949;  289,021;    0,000
295,294;  -75,795;  -47,000;    0,000
295,463; -193,425; -154,794;    0,000
295,631; -504,648; -368,502;    0,000
295,799;  335,012;  267,404;    0,000
295,967;   68,256;   38,207;    0,000
296,135; -100,151;  -94,702;    0,000
296,304;  151,569;  117,497;    0,000
296,472;   55,610;   58,332;    0,000
296,640;  -81,896;  -53,686;    0,000
296,808;  210,702;  162,123;    0,000
296,976;  370,765;  283,106;    0,000
297,145;  223,906;  146,828;    0,000
297,313; -298,916; -214,495;    0,000
297,481;  196,428;  157,417;    0,000
297,649; -258,516; -159,399;    0,000
297,817;  -17,723;  -10,180;    0,000
297,985;  -87,342;  -36,489;    0,000
298,154;    7,059;   13,907;    0,000
298,322;  135,014;  107,509;    0,000
298,490;  -91,303;  -30,281;    0,000
298,658;  -58,733;  -76,589;    0,000
298,826;  -70,660;  -31,188;    0,000
298,994; -128,249;  -66,288;    0,000
299,162; -163,076; -122,773;    0,000
299,331;  -71,113;  -51,699;    0,000
299,499;   78,553;   55,416;    0,000
299,667;  353,198;  294,814;    0,000
299,835;  322,550;  259,616;    0,000
300,003;  170,587;  115,919;    0,000
300,171;  -14,843;  -26,484;    0,000
300,339; -237,939; -174,794;    0,000
300,507;  -48,821;  -56,385;    0,000
300,675;   25,870;    8,415;    0,000
300,843;  512,118;  399,308;    0,000
301,011;   37,333;   39,212;    0,000
301,179;  417,141;  323,317;    0,000
301,347;   25,868;   44,215;    0,000
301,515; -108,425;  -95,085;    0,000
301,684; -344,652; -262,893;    0,000
301,852;  -44,303;  -59,081;    0,000
302,020;  133,401;  109,705;    0,000
302,188;  125,741;   79,231;    0,000
302,356;   87,658;   74,102;    0,000
302,524;   94,989;   50,710;    0,000
302,692;  -30,810;   -7,395;    0,000
302,860;  342,534;  236,222;    0,000
303,028;  107,573;   96,315;    0,000
303,196;  -20,815;  -33,467;    0,000
303,364; -168,636; -135,398;    0,000
303,531;   35,522;   31,104;    0,000
303,699;  -48,813;   10,687;    0,000
303,867; -188,618; -130,290;    0,000
304,035;  151,051;  120,602;    0,000
304,203;   92,236;   69,122;    0,000
304,371; -135,583;  -95,905;    0,000
304,539; -218,031; -183,675;    0,000
304,707;   58,640;   69,612;    0,000
304,875;  246,982;  198,515;    0,000
305,043;  328,770;  277,915;    0,000
305,211;  328,350;  271,316;    0,000
305,379; -160,886; -125,605;    0,000
305,547;  -39,360;  -26,079;    0,000
305,715;  168,618;  130,208;    0,000
305,883;  278,054;  162,721;    0,000
306,050;  143,236;  149,998;    0,000
306,218;  -19,218;   -6,585;    0,000
306,386;   94,281;  118,219;    0,000
306,554;  502,676;  347,920;    0,000
306,722;  -43,965;  -35,997;    0,000
306,890;  -13,995;    7,518;    0,000
307,058;  114,582;   70,801;    0,000
307,226; -221,890; -184,782;    0,000
307,393;  193,726;  136,403;    0,000
307,561;  131,122;  114,122;    0,000
307,729;  376,069;  286,111;    0,000
307,897;  538,653;  444,616;    0,000
308,065;   11,948;   40,607;    0,000
308,233;  -12,193;   30,509;    0,000
308,400;   40,555;   13,702;    0,000
308,568;  138,812;   99,618;    0,000
308,736; -170,768; -122,392;    0,000
308,904;  188,731;  126,322;    0,000
309,072; -201,142; -136,698;    0,000
309,239; -254,974; -189,973;    0,000
309,407;  432,471;  332,911;    0,000
309,575;  -86,419;  -77,294;    0,000
309,743;  -91,144;  -76,089;    0,000
309,910;  -40,464;  -14,764;    0,000
310,078;  443,589;  367,310;    0,000
310,246; -166,434; -145,084;    0,000
310,414;  -48,646;  -40,989;    0,000
310,581;  166,492;  140,528;    0,000
310,749;  182,500;  170,509;    0,000
310,917;  171,237;  144,026;    0,000
311,085;  -50,115;  -17,713;    0,000
311,252; -268,530; -199,885;    0,000
311,420; -353,988; -263,891;    0,000
311,588; -115,638;  -70,598;    0,000
311,755;   82,917;  100,281;    0,000
311,923;  175,240;  136,603;    0,000
312,091;  -30,787;  -22,701;    0,000
312,258;  -15,821;  -35,394;    0,000
312,426; -191,952; -142,093;    0,000
312,594;   59,978;   49,010;    0,000
312,762; -126,005; -101,295;    0,000
312,929;   77,974;   47,810;    0,000
313,097;  185,968;  169,406;    0,000
313,264;  167,484;  128,415;    0,000
313,432;  -55,902;  -14,100;    0,000
313,600;   -4,386;   62,118;    0,000
313,767;   11,378;    8,996;    0,000
313,935; -101,854;  -92,570;    0,000
314,103;   12,579;   28,406;    0,000
314,270;  -12,543;  -38,998;    0,000
314,438;  306,453;  262,216;    0,000
314,605;  -76,464;  -95,788;    0,000
314,773;  227,801;  204,605;    0,000
314,941;   55,399;   53,805;    0,000
315,108; -339,708; -240,495;    0,000
315,276;  165,220;  114,527;    0,000
315,443;   22,933;   45,426;    0,000
315,611;  170,247;  102,721;    0,000
315,779;  141,766;  113,292;    0,000
315,946;  268,046;  185,516;    0,000
316,114;   -7,900;   -3,091;    0,000
316,281;  218,298;  164,723;    0,000
316,449; -140,161;  -90,493;    0,000
316,616;   88,919;   75,904;    0,000
316,784;   61,464;   52,202;    0,000
316,951;   -2,809;    7,314;    0,000
317,119;  224,218;  202,913;    0,000
317,286;  135,854;  101,521;    0,000
317,454; -122,146;  -79,589;    0,000
317,621;  -24,772;   -6,459;    0,000
317,789;  -18,555;  -23,688;    0,000
317,956;  137,506;  118,414;    0,000
318,124;  133,651;  109,998;    0,000
318,291;  331,450;  238,821;    0,000
318,459; -129,800; -102,191;    0,000
318,626;  -90,212;  -54,595;    0,000
318,794;  -67,641;  -33,907;    0,000
318,961;  417,041;  331,721;    0,000
319,129;  343,490;  301,996;    0,000
319,296;  137,487;   89,819;    0,000
319,464;  331,237;  273,217;    0,000
319,631;   29,119;   12,727;    0,000
319,798; -293,988; -246,191;    0,000
319,966;  -28,265;  -29,997;    0,000
320,133;    0,054;  -53,793;    0,000
320,301;  -90,915;  -57,181;    0,000
320,468;  -25,548;   -3,079;    0,000
320,636;  266,563;  230,006;    0,000
320,803; -231,478; -168,210;    0,000
320,970; -347,051; -251,888;    0,000
321,138;   -9,161;  -20,493;    0,000
321,305; -228,156; -184,983;    0,000
321,472;  -29,437;  -22,208;    0,000
321,640;  162,474;  105,610;    0,000
321,807;  -37,630;  -12,085;    0,000
321,975;   68,561;   78,130;    0,000
322,142;  116,268;  124,615;    0,000
322,309;  -39,283;  -29,782;    0,000
322,477; -203,151; -169,888;    0,000
322,644;   86,452;   25,930;    0,000
322,811;  -38,936;    8,602;    0,000
322,979; -103,243;  -74,075;    0,000
323,146; -134,404; -118,504;    0,000
323,313;   90,761;   58,697;    0,000
323,480; -126,591;  -94,986;    0,000
323,648;  167,315;   97,604;    0,000
323,815; -152,522; -134,890;    0,000
323,982;  221,441;  191,440;    0,000
324,150;   56,687;   49,510;    0,000
324,317;  132,093;  109,838;    0,000
324,484;  226,950;  194,621;    0,000
324,651;  299,523;  268,018;    0,000
324,819; -232,233; -182,903;    0,000
324,986;  133,723;   84,608;    0,000
325,153;  -55,548;  -50,502;    0,000
325,320;  151,527;  106,136;    0,000
325,488;  -70,635;  -90,303;    0,000
325,655;   43,814;   35,318;    0,000
325,822; -127,345;  -79,198;    0,000
325,989;  155,572;  133,120;    0,000
326,157;   16,204;   16,404;    0,000
326,324;  378,454;  280,921;    0,000
326,491;  265,582;  219,801;    0,000
326,658;  255,022;  180,427;    0,000
326,825;   36,398;   39,409;    0,000
326,993;  281,875;  240,115;    0,000
327,160;   96,856;   88,288;    0,000
327,327;   18,238;  -19,079;    0,000
327,494;  128,935;   33,812;    0,000
327,661;  355,605;  270,018;    0,000
327,828; -157,117; -141,281;    0,000
