
Integration time [ms]: 600,000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1804343U2
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 

318,006;   83,000;   90,000;    0,000
318,025;   61,000;   29,000;    0,000
318,044;  121,000;  181,000;    0,000
318,063; -339,000; -247,000;    0,000
318,082;  226,000;  160,000;    0,000
318,102;   69,000;   13,000;    0,000
318,121;  198,000;  164,000;    0,000
318,140;  -34,000; -135,000;    0,000
318,159;  352,000;  386,000;    0,000
318,179;  -74,000; -118,000;    0,000
318,198;  220,000;  224,000;    0,000
318,217;  486,000;  508,000;    0,000
318,236;  -44,000;   48,000;    0,000
318,255; -153,000; -197,000;    0,000
318,275;  222,000;  251,000;    0,000
318,294; -363,000; -300,000;    0,000
318,313;  550,000;  512,000;    0,000
318,332; -137,000; -124,000;    0,000
318,351;  171,000;   93,000;    0,000
318,370; -242,000; -208,000;    0,000
318,390; -160,000; -188,000;    0,000
318,409;   22,000;   86,000;    0,000
318,428;   -1,000;   14,000;    0,000
318,447; -151,000;  -21,000;    0,000
318,466; -144,000; -128,000;    0,000
318,485; -315,000; -186,000;    0,000
318,505;  156,000;   -3,000;    0,000
318,524; -329,000; -357,000;    0,000
318,543;  232,000;  321,000;    0,000
318,562;  -77,000;  -20,000;    0,000
318,581;   30,000;   47,000;    0,000
318,600;   91,000;  139,000;    0,000
318,620;  333,000;  409,000;    0,000
318,639; -239,000; -249,000;    0,000
318,658;  105,000;  136,000;    0,000
318,677;  120,000;  -78,000;    0,000
318,696;  159,000;   97,000;    0,000
318,715; -210,000; -319,000;    0,000
318,734; -106,000; -145,000;    0,000
318,754;  -10,000;  120,000;    0,000
318,773;   97,000;   23,000;    0,000
318,792; -177,000;  -95,000;    0,000
318,811;  316,000;  154,000;    0,000
318,830; -142,000;  -20,000;    0,000
318,849;  286,000;  280,000;    0,000
318,868;  -34,000; -170,000;    0,000
318,887; -127,000;  -12,000;    0,000
318,906;  117,000;  -35,000;    0,000
318,926;  210,000;   98,000;    0,000
318,945; -156,000;  -54,000;    0,000
318,964;   66,000;   89,000;    0,000
318,983;   32,000;  -10,000;    0,000
319,002;  318,000;  200,000;    0,000
319,021; -252,000; -239,000;    0,000
319,040;   33,000;   -9,000;    0,000
319,059;  208,000;   55,000;    0,000
319,078;  113,000;  131,000;    0,000
319,097;  166,000;  260,000;    0,000
319,117;  -23,000;   70,000;    0,000
319,136;   36,000;  -60,000;    0,000
319,155; -107,000;  -65,000;    0,000
319,174;  378,000;  378,000;    0,000
319,193;   88,000;   58,000;    0,000
319,212; -194,000; -107,000;    0,000
319,231;  -63,000; -100,000;    0,000
319,250;  -52,000;  -20,000;    0,000
319,269;  166,000;  317,000;    0,000
319,288; -151,000; -103,000;    0,000
319,307; -184,000; -190,000;    0,000
319,326;  276,000;  344,000;    0,000
319,345;  291,000;  322,000;    0,000
319,364;   46,000;   47,000;    0,000
319,384;  288,000;  448,000;    0,000
319,403;   53,000;   13,000;    0,000
319,422;  357,000;  452,000;    0,000
319,441;  -31,000;  -77,000;    0,000
319,460;  202,000;  175,000;    0,000
319,479;  -59,000; -138,000;    0,000
319,498;  306,000;  218,000;    0,000
319,517;  156,000;  216,000;    0,000
319,536;  274,000;  225,000;    0,000
319,555;  -58,000; -128,000;    0,000
319,574;  -24,000;  -27,000;    0,000
319,593;  -24,000;  105,000;    0,000
319,612;  239,000;  236,000;    0,000
319,631; -128,000;  -59,000;    0,000
319,650;  524,000;  460,000;    0,000
319,669; -113,000; -109,000;    0,000
319,688;  323,000;  388,000;    0,000
319,707; -201,000; -152,000;    0,000
319,726;  103,000;  188,000;    0,000
319,745; -135,000; -234,000;    0,000
319,764;    9,000;  167,000;    0,000
319,783;  293,000;  296,000;    0,000
319,802; -241,000; -302,000;    0,000
319,821;  181,000;  162,000;    0,000
319,840; -140,000; -121,000;    0,000
319,859;  570,000;  614,000;    0,000
319,878;  352,000;  290,000;    0,000
319,897;  159,000;  287,000;    0,000
319,916;  152,000;  169,000;    0,000
