
Integration time [ms]:   1,150
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1804343U2
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 

318,006;  -39,000;    3,000;    0,000
318,025;   37,000;   55,000;    0,000
318,044;  -25,000;  -72,000;    0,000
318,063;   69,000;    9,000;    0,000
318,082;    0,000;  -62,000;    0,000
318,102;   45,000;  -35,000;    0,000
318,121;  -32,000;  -40,000;    0,000
318,140;    0,000;    9,000;    0,000
318,159;   18,000;   55,000;    0,000
318,179;    2,000;   58,000;    0,000
318,198;  -28,000;   -9,000;    0,000
318,217;  -58,000;   93,000;    0,000
318,236;   11,000;   -1,000;    0,000
318,255;   -9,000;  -39,000;    0,000
318,275;   30,000;   -3,000;    0,000
318,294;   -4,000;   71,000;    0,000
318,313;   44,000;   43,000;    0,000
318,332;  -18,000;   59,000;    0,000
318,351;   33,000;  -13,000;    0,000
318,370;   -1,000;   70,000;    0,000
318,390;  -27,000;   60,000;    0,000
318,409;  -38,000;   15,000;    0,000
318,428;   30,000;  -30,000;    0,000
318,447;   29,000;   87,000;    0,000
318,466;    9,000;  -27,000;    0,000
318,485;  -19,000;  -27,000;    0,000
318,505;   34,000;    4,000;    0,000
318,524;  -17,000;   -2,000;    0,000
318,543;  -78,000;   48,000;    0,000
318,562;   -3,000;   28,000;    0,000
318,581;  -24,000;  -29,000;    0,000
318,600;   11,000;    9,000;    0,000
318,620;   43,000;   -9,000;    0,000
318,639;   45,000;  129,000;    0,000
318,658;  -42,000;  -44,000;    0,000
318,677;   94,000;   25,000;    0,000
318,696;  -69,000;    9,000;    0,000
318,715;   -2,000;  -41,000;    0,000
318,734;   20,000;  -37,000;    0,000
318,754;  -19,000;   57,000;    0,000
318,773;   -2,000;   -3,000;    0,000
318,792;  -74,000;   66,000;    0,000
318,811;  -20,000;    2,000;    0,000
318,830;   10,000;   19,000;    0,000
318,849;  122,000;  -19,000;    0,000
318,868;   33,000;   60,000;    0,000
318,887;   16,000;  -33,000;    0,000
318,906;   34,000;   32,000;    0,000
318,926;   32,000;   22,000;    0,000
318,945;   43,000;  100,000;    0,000
318,964;  -20,000;  -24,000;    0,000
318,983;   26,000;    3,000;    0,000
319,002;  -88,000;  -32,000;    0,000
319,021;   76,000;   42,000;    0,000
319,040;  -31,000;   10,000;    0,000
319,059;   20,000;  -19,000;    0,000
319,078;  -34,000;   52,000;    0,000
319,097;  -56,000;    1,000;    0,000
319,117;   -7,000;  -39,000;    0,000
319,136;   29,000;   16,000;    0,000
319,155;  -63,000;  -13,000;    0,000
319,174;   35,000;   59,000;    0,000
319,193;    7,000;  -45,000;    0,000
319,212;  -45,000;  -22,000;    0,000
319,231;   42,000;   -2,000;    0,000
319,250;  109,000;  -19,000;    0,000
319,269;  -53,000;  -30,000;    0,000
319,288;  -16,000;   29,000;    0,000
319,307;    1,000;   13,000;    0,000
319,326;   37,000;   26,000;    0,000
319,345;  -34,000;   35,000;    0,000
319,364;    2,000;   68,000;    0,000
319,384;   29,000;   -3,000;    0,000
319,403;   -1,000;   74,000;    0,000
319,422;  -24,000;   33,000;    0,000
319,441;    9,000;  -35,000;    0,000
319,460;    4,000;   16,000;    0,000
319,479;   -7,000;   -6,000;    0,000
319,498;  -15,000;  -65,000;    0,000
319,517;  -20,000;  -44,000;    0,000
319,536;  -14,000;   29,000;    0,000
319,555;  -38,000;    3,000;    0,000
319,574;  -46,000;   23,000;    0,000
319,593;  -25,000;  105,000;    0,000
319,612;  -63,000;  -38,000;    0,000
319,631;   15,000;  -14,000;    0,000
319,650;   -2,000;   36,000;    0,000
319,669;   15,000;   49,000;    0,000
319,688;   75,000;   69,000;    0,000
319,707;   55,000;   60,000;    0,000
319,726;  -73,000;  -31,000;    0,000
319,745;   11,000;   79,000;    0,000
319,764;  -43,000;   59,000;    0,000
319,783;   30,000;  -66,000;    0,000
